Latitude,Longitude
45.842344,3.132344
45.842345,3.132345
45.842344,3.132345
45.842343,3.132345
45.842342,3.132346
45.842341,3.132345
45.842341,3.132345
45.842339,3.132343
45.842337,3.132342
45.842337,3.132342
45.842336,3.132339
45.842336,3.132337
45.842328,3.132332
45.842331,3.132330
45.842332,3.132337
45.842326,3.132348
45.842318,3.132354
45.842320,3.132354
45.842325,3.132349
45.842319,3.132332
45.842340,3.132315
45.842368,3.132299
45.842397,3.132267
45.842416,3.132215
45.842427,3.132164
45.842432,3.132116
45.842430,3.132069
45.842431,3.132023
45.842433,3.131970
45.842432,3.131914
45.842427,3.131859
45.842424,3.131811
45.842416,3.131756
45.842424,3.131709
45.842419,3.131652
45.842428,3.131593
45.842429,3.131525
45.842429,3.131470
45.842429,3.131407
45.842429,3.131336
45.842425,3.131271
45.842425,3.131205
45.842416,3.131135
45.842414,3.131067
45.842413,3.131006
45.842408,3.130951
45.842408,3.130911
45.842408,3.130873
45.842412,3.130844
45.842408,3.130824
45.842406,3.130807
45.842407,3.130783
45.842415,3.130766
45.842444,3.130752
45.842482,3.130743
45.842532,3.130737
45.842583,3.130731
45.842642,3.130727
45.842686,3.130718
45.842739,3.130708
45.842790,3.130706
45.842853,3.130703
45.842895,3.130705
45.842957,3.130712
45.843021,3.130709
45.843090,3.130705
45.843156,3.130699
45.843224,3.130700
45.843288,3.130697
45.843345,3.130683
45.843398,3.130680
45.843457,3.130672
45.843505,3.130671
45.843575,3.130661
45.843641,3.130647
45.843712,3.130641
45.843767,3.130639
45.843834,3.130630
45.843904,3.130621
45.843958,3.130619
45.844026,3.130616
45.844101,3.130606
45.844177,3.130604
45.844249,3.130600
45.844319,3.130595
45.844383,3.130578
45.844438,3.130552
45.844468,3.130550
45.844499,3.130553
45.844530,3.130557
45.844538,3.130558
45.844551,3.130545
45.844562,3.130517
45.844568,3.130481
45.844562,3.130429
45.844566,3.130375
45.844553,3.130315
45.844548,3.130255
45.844560,3.130192
45.844561,3.130119
45.844559,3.130038
45.844563,3.129955
45.844564,3.129877
45.844564,3.129798
45.844556,3.129716
45.844549,3.129635
45.844552,3.129551
45.844555,3.129470
45.844552,3.129380
45.844550,3.129293
45.844550,3.129212
45.844531,3.129129
45.844525,3.129036
45.844512,3.128928
45.844505,3.128826
45.844501,3.128736
45.844512,3.128654
45.844497,3.128582
45.844505,3.128509
45.844506,3.128486
45.844499,3.128459
45.844494,3.128444
45.844492,3.128428
45.844491,3.128420
45.844480,3.128401
45.844448,3.128367
45.844418,3.128328
45.844394,3.128299
45.844362,3.128285
45.844326,3.128277
45.844290,3.128273
45.844245,3.128269
45.844193,3.128271
45.844140,3.128269
45.844096,3.128270
45.844026,3.128276
45.843961,3.128273
45.843898,3.128280
45.843825,3.128284
45.843757,3.128279
45.843711,3.128261
45.843658,3.128255
45.843589,3.128250
45.843555,3.128236
45.843482,3.128232
45.843405,3.128238
45.843316,3.128242
45.843232,3.128255
45.843159,3.128259
45.843086,3.128266
45.843015,3.128275
45.842944,3.128282
45.842880,3.128296
45.842800,3.128309
45.842737,3.128324
45.842678,3.128335
45.842613,3.128340
45.842548,3.128346
45.842483,3.128355
45.842411,3.128363
45.842322,3.128379
45.842263,3.128385
45.842186,3.128379
45.842115,3.128381
45.842045,3.128380
45.841983,3.128378
45.841914,3.128376
45.841859,3.128384
45.841798,3.128386
45.841752,3.128388
45.841698,3.128389
45.841643,3.128390
45.841605,3.128412
45.841575,3.128453
45.841551,3.128516
45.841541,3.128593
45.841531,3.128675
45.841522,3.128760
45.841514,3.128845
45.841509,3.128930
45.841506,3.129023
45.841503,3.129124
45.841493,3.129228
45.841497,3.129333
45.841503,3.129438
45.841512,3.129545
45.841521,3.129655
45.841529,3.129768
45.841536,3.129872
45.841546,3.129983
45.841554,3.130091
45.841560,3.130197
45.841561,3.130292
45.841559,3.130384
45.841560,3.130484
45.841558,3.130577
45.841561,3.130666
45.841565,3.130755
45.841565,3.130849
45.841566,3.130929
45.841564,3.131019
45.841568,3.131106
45.841575,3.131191
45.841581,3.131284
45.841584,3.131372
45.841581,3.131471
45.841589,3.131573
45.841593,3.131675
45.841601,3.131779
45.841602,3.131871
45.841599,3.131969
45.841603,3.132067
45.841605,3.132168
45.841611,3.132259
45.841616,3.132337
45.841617,3.132406
45.841620,3.132455
45.841641,3.132494
45.841676,3.132506
45.841707,3.132498
45.841751,3.132496
45.841792,3.132491
45.841836,3.132488
45.841890,3.132484
45.841947,3.132483
45.842008,3.132477
45.842080,3.132476
45.842145,3.132472
45.842197,3.132466
45.842246,3.132448
45.842282,3.132426
45.842303,3.132399
45.842323,3.132377
45.842334,3.132364
45.842339,3.132347
45.842345,3.132340
45.842348,3.132342
45.842342,3.132339
45.842343,3.132345
45.842349,3.132351
45.842353,3.132356
45.842358,3.132357
45.842359,3.132359
45.842364,3.132360
45.842376,3.132367
45.842374,3.132366
45.842377,3.132363
45.842389,3.132363
45.842389,3.132361
45.842380,3.132357
45.842382,3.132357
45.842385,3.132356
45.842381,3.132357
45.842377,3.132355
45.842376,3.132356
45.842377,3.132354
45.842371,3.132347
45.842373,3.132342
45.842366,3.132336
45.842364,3.132339
45.842366,3.132341
45.842369,3.132343
45.842360,3.132340
45.842358,3.132337
45.842356,3.132335
45.842360,3.132332
45.842361,3.132330
45.842365,3.132331
45.842367,3.132327
45.842364,3.132319
45.842359,3.132315
45.842356,3.132314
45.842363,3.132309
45.842358,3.132308
45.842357,3.132309
45.842361,3.132313
45.842358,3.132316
45.842357,3.132319
45.842355,3.132323
45.842350,3.132322
45.842350,3.132324
45.842351,3.132326
45.842351,3.132324
45.842350,3.132321
45.842347,3.132323
45.842349,3.132323
45.842352,3.132324
45.842348,3.132322
45.842340,3.132325
45.842337,3.132333
45.842332,3.132327
45.842330,3.132330
45.842329,3.132331
45.842337,3.132332
45.842339,3.132332
45.842331,3.132328
45.842323,3.132326
45.842320,3.132326
45.842323,3.132326
45.842331,3.132324
45.842329,3.132323
45.842331,3.132322
45.842331,3.132324
45.842326,3.132328
45.842318,3.132327
45.842318,3.132331
45.842320,3.132333
45.842330,3.132334
45.842330,3.132335
45.842338,3.132340
45.842341,3.132336
45.842352,3.132337
45.842359,3.132336
45.842366,3.132336
45.842367,3.132336
45.842355,3.132336
45.842346,3.132335
45.842336,3.132335
45.842325,3.132338
45.842322,3.132339
45.842331,3.132336
45.842334,3.132335
45.842337,3.132334
45.842349,3.132334
45.842361,3.132336
45.842361,3.132337
45.842358,3.132337
45.842344,3.132337
45.842343,3.132338
45.842340,3.132339
45.842349,3.132340
45.842340,3.132338
45.842348,3.132341
45.842346,3.132343
45.842349,3.132344
45.842351,3.132346
45.842354,3.132343
45.842353,3.132346
45.842361,3.132356
45.842359,3.132356
45.842366,3.132359
45.842380,3.132361
45.842385,3.132370
45.842384,3.132373
45.842378,3.132372
45.842375,3.132370
45.842377,3.132373
45.842377,3.132371
45.842380,3.132375
45.842386,3.132373
45.842387,3.132369
45.842390,3.132365
45.842397,3.132368
45.842405,3.132363
45.842400,3.132361
45.842408,3.132364
45.842402,3.132369
45.842405,3.132373
45.842416,3.132372
45.842421,3.132372
45.842424,3.132373
45.842422,3.132372
45.842432,3.132376
45.842439,3.132375
45.842441,3.132376
45.842442,3.132375
45.842436,3.132369
45.842434,3.132369
45.842440,3.132367
45.842438,3.132366
45.842435,3.132369
45.842438,3.132369
45.842439,3.132370
45.842441,3.132365
45.842445,3.132363
45.842440,3.132359
45.842433,3.132356
45.842439,3.132360
45.842444,3.132357
45.842446,3.132356
45.842442,3.132355
45.842440,3.132354
45.842429,3.132353
45.842436,3.132351
45.842434,3.132347
45.842429,3.132344
45.842429,3.132343
45.842412,3.132338
45.842412,3.132337
45.842417,3.132337
45.842416,3.132333
45.842415,3.132332
45.842410,3.132326
45.842406,3.132324
45.842398,3.132322
45.842400,3.132325
45.842399,3.132320
45.842400,3.132320
45.842397,3.132318
45.842402,3.132317
45.842404,3.132315
45.842396,3.132314
45.842396,3.132312
45.842394,3.132309
45.842388,3.132308
45.842379,3.132308
45.842380,3.132313
45.842386,3.132313
45.842374,3.132311
45.842376,3.132311
45.842375,3.132313
45.842371,3.132315
45.842376,3.132319
45.842385,3.132316
45.842387,3.132312
45.842385,3.132313
45.842379,3.132315
45.842383,3.132314
45.842392,3.132316
45.842385,3.132316
45.842385,3.132316
45.842383,3.132310
45.842381,3.132308
45.842377,3.132303
45.842371,3.132299
45.842367,3.132301
45.842370,3.132299
45.842374,3.132299
45.842383,3.132304
45.842390,3.132308
45.842393,3.132310
45.842378,3.132310
45.842376,3.132308
45.842375,3.132310
45.842371,3.132312
45.842369,3.132313
45.842357,3.132315
45.842345,3.132318
45.842347,3.132322
45.842342,3.132317
45.842351,3.132323
45.842353,3.132322
